,username,bio,profile_url,location,website
0,vpindia,"official twitter account of the vice president of india, shri jagdeep dhankhar.",https://twitter.com/VPIndia,"new delhi, india",https://t.co/1u25beBv9x
1,vp,vice president of the united states. wife to the first @secondgentleman. momala. auntie. fighting for the people.,https://twitter.com/VP,,https://t.co/vbwTCDuFie
2,madam_president,a project of @emilyslist with the goal of electing @kamalaharris as the first woman vice president of the united states.,https://twitter.com/Madam_President,,https://t.co/woVJokZGQb
3,jessica_alupo,"2nd female vice president of the republic of uganda,mp, wife, proud mother and committed servant of the people.",https://twitter.com/jessica_alupo,"kampala, uganda",https://t.co/g327WBeX24
4,potus,"46th president of the united states, husband to @flotus, proud dad & pop. tweets may be archived: https://t.co/hdhbzbkkpu
text me: (302) 404-0880",https://twitter.com/POTUS,,https://t.co/MzB1JWfbJ0
5,mike_pence,"husband, father, 48th vice president of the united states 🇺🇸",https://twitter.com/Mike_Pence,,
6,viceprespppp,vice president pppp senator sherry rehman. parliamentary party leader of ppp and former leader of opposition in senate. former amb to us and fed min information,https://twitter.com/VicePresPPPP,,
7,mbawumia,"official twitter account of dr. mahamudu bawumia, vice president of the republic of ghana.",https://twitter.com/MBawumia,ghana,https://t.co/f6NVmv7Iup
8,ghanapresidency,"official twitter handle for the office of the president of the republic of ghana, managed by the jubilee house communications bureau.",https://twitter.com/GhanaPresidency,,https://t.co/IPuLTxXM4B
9,georgeweahoff,president of the republic of liberia.,https://twitter.com/GeorgeWeahOff,libéria,https://t.co/tMspysfbDB
10,clickmanteaw,"executive assistant, office of the president jubilee house kanda, accra - ghana | founder of the hope campaign https://t.co/g9jvvphtqs",https://twitter.com/Clickmanteaw,"akropong, akuapem",https://t.co/vExflYiFvk
11,royaltcafe2012,"executive assistant & head of social media,office of the president, jubilee house | operations director, young patriots | operations director, let my vote count",https://twitter.com/royaltcafe2012,"accra, ghana",https://t.co/3DxXNTdOZb
12,vppilipinas,the official twitter account of the office of the vice president of the philippines,https://twitter.com/VPPilipinas,national capital region,https://t.co/8EKtamalG0
13,faisalnasym,vice president of the republic of maldives,https://twitter.com/FaisalNasym,maldives,https://t.co/ZbMH8DisGp
14,1vicepresident,first vice president of azerbaijan mehriban aliyeva,https://twitter.com/1VicePresident,baku,https://t.co/jVzgPGpNQ7
15,madhukeshwar,"ceo, mcia | national vice president, bjp youth wing | vice president msba | lawyer | tech junkie | petrol head | wanderlust | nanos gigantum humeris insidentes",https://twitter.com/Madhukeshwar,india ,https://t.co/RABeug4AcO
16,icann_president,president and ceo of icann,https://twitter.com/icann_president,,https://t.co/Hq9pXMXVg0
17,mvenkaiahnaidu,former vice president of india.,https://twitter.com/MVenkaiahNaidu,new delhi,
18,omarabdullah,vice president @jknc_ tweets are my own. fb page - abdullah_omar instagram page - omar_abdullah_jk mastodon @omar_abdullah@toot.community,https://twitter.com/OmarAbdullah,"srinagar, jammu, delhi",
19,lenirobredo,"human rights lawyer. mother of aika, tricia and jillian. jesse's wife. public servant. 14th vice president of the philippines.",https://twitter.com/lenirobredo,philippines,
20,vasundharabjp,official twitter account of bjp national vice-president | former chief minister of rajasthan (demitted office on 11th december 2018),https://twitter.com/VasundharaBJP,,https://t.co/lbFxiQXfPY
21,erictrump,executive vice president of the @trump organization. husband to @laraleatrump. large advocate of @stjude children's hospital @trumpwinery #makeamericagreatagain,https://twitter.com/EricTrump,"florida, usa",https://t.co/7O1fX0uSVC
22,agentm,"vice president & creative executive, @marvel digital media. podcaster, host, cameos in marvel stuff i guess? personal account! he/him",https://twitter.com/AgentM,nyc,https://t.co/Pkvh2UnMLN
23,atiku,"former vice president of nigeria. waziri adamawa, businessman, father and philanthropist. pdp presidential candidate, 2023.",https://twitter.com/atiku,,https://t.co/hPNvHhdtcc
24,pandajay,national vice president bjp; party in-charge of assam & delhi; former mp (4 times from odisha); author; columnist; avid reader; helicopter pilot (1980 hours).,https://twitter.com/PandaJay,,https://t.co/feD2veXyCZ
25,shuklarajiv,"member of parliament - rajya sabha, vice-president bcci, former minister - government of india, member congress working committee, former chairman ipl",https://twitter.com/ShuklaRajiv,new delhi,https://t.co/T3hYTPK8nM
26,fadlizon,jubir rakyat - mp @dpr_ri ▪ vice president @gopac_eng ▪ @gerindra ▪ketum @hkti ▪founder @fadlizonlibrary ▪ketum snki ▪ketum @ikmdpp▪ ketum hsbi,https://twitter.com/fadlizon,indonesia,https://t.co/g4nOxpbnpu
27,gagunnarang,olympic medallist in shooting |4x olympian| vice president of indian olympic association | wildlifer |views are my own |,https://twitter.com/gaGunNarang,india,
28,sherryrehman,pakistan’s federal minister for climate change;vice president ppp; former leader opposition senate;formerpak amb to the us.editor “womansplaining”,https://twitter.com/sherryrehman,pakistan ❤️,https://t.co/03crdGXrva
29,ebtekarm,"professor of immunology, former vice president on women and family affairs,former head of department of environment, iran , un champion of the earth, mother",https://twitter.com/ebtekarm,,https://t.co/DY1WzB7Zt7
30,neeliekroeseu,non exec. board member salesforce; rijksmuseum. former vice president of european commission for digital agenda,https://twitter.com/NeelieKroesEU,global,https://t.co/rA76Jcys10
31,praful_patel,"mp • vice-president - nationalist congress party • former union minister of civil aviation, heavy industries & public enterprises • fifa council member",https://twitter.com/praful_patel,"maharashtra, india",https://t.co/e0Xyw1PACM
32,jesserodriguez,vice president of editorial & booking for @msnbc; e-mail: jesse.rodriguez@nbc.com,https://twitter.com/JesseRodriguez,"new york, ny",https://t.co/5TAF6ijWwt
33,thealiceroberts,"prof of public engagement in science, uni of birmingham; anatomist, author, broadcaster; vice president of humanists uk. all views my own.",https://twitter.com/theAliceRoberts,location: crypt of lieberkuhn,https://t.co/HKtSWtKUec
34,satavrajeev,"* mlc maharashtra 
* elected member a.i.c.c
* vice president @incmaharashtra  *mbbs - opthalmoligst 
*congress loyalist",https://twitter.com/SATAVRAJEEV,,
35,jccic,the joint congressional committee on inaugural ceremonies is responsible for planning & execution of swearing-in ceremonies of the president and vice president.,https://twitter.com/JCCIC,"washington, dc",https://t.co/xSdRI9OoEZ
36,mikepereira,former vice president of officiating in the national football league. current rules analyst at fox sports. referee of twitters 18th officiating crew,https://twitter.com/MikePereira,"sacramento, ca",http://t.co/mRELlfqgIf
37,dilipghoshbjp,bjp - national vice president || member of parliament from medinipur ii ex- mla,https://twitter.com/DilipGhoshBJP,"paschim banga, india",https://t.co/GDklHOyYxh
38,shyamsjaju,former national vice president of bharatiya janata party.,https://twitter.com/ShyamSJaju,,https://t.co/cjXqo5t9hJ
39,crainbf,"towards open systems and freedom. 
co-founder / ceo @chorusone. foundation council / vice president @interchain_io 🚀. co-host epicenter podcast @epicenterbtc",https://twitter.com/crainbf,~minwyc-dablen,https://t.co/9Jf2vCV1wM
40,stevescully,"senior vice president - bipartisan policy center; host, 'the briefing' noon-2pm & 6-8pm et on sirius xm potus 124; contributor, https://t.co/pjirs7klr5",https://twitter.com/SteveScully,"washington, dc",https://t.co/vsgdBvx77u
41,markrein,vice president and co-founder of epic games. carolina hurricanes fan.,https://twitter.com/MarkRein,"raleigh, north carolina",https://t.co/EVe03LZtLP
42,the_nehajoshi,national vice president & incharge rajasthan @bjym | national media panelist bjp | proud pahadi,https://twitter.com/The_NehaJoshi,uttarakhand,
43,larry_levitt,"executive vice president for health policy, @kff (kaiser family foundation). cal bear.",https://twitter.com/larry_levitt,"oakland, ca",https://t.co/hy6QI5S8rr
44,carlscrush,"michael carl, vice president of pr and influence, hermès, sports freak, fashion obsessed, love a good practical joke. hate bagels",https://twitter.com/carlscrush,united states,
45,andrewsweiss,"vice president for studies & james family chair @carnegieendow. 
new graphic novel! accidental czar: the life and lies of vladimir putin https://t.co/zf76defm5h",https://twitter.com/andrewsweiss,"washington, dc",https://t.co/odcR29xyb2
46,officialmutombo,ceo & president of the dikembe mutombo foundation | nba global ambassador instagram:dofficialmutombo,https://twitter.com/officialmutombo,atlanta,http://t.co/DWx40ph6xE
47,dramirkhangp,nhs doctor•best selling author•gp on @lorraine + @gmb• president @natures_voice •vice president @wildlifetrusts• ambassador @savebutterflies,https://twitter.com/DrAmirKhanGP,yorkshire and the humber,https://t.co/9PX6xO6pA5
48,vivianeredingeu,"former vice-president of the european commission, former member of the european parliament 
🇱🇺🇪🇺 
facebook: vivianeredingeu instagram: vivianereding",https://twitter.com/VivianeRedingEU,luxembourg europe,
49,tunajibu,vice president - ffi | former cabinet minister & member of parliament - government of kenya 🇰🇪,https://twitter.com/tunajibu,kenya,
50,tunasweasel,espn vice president & executive producer 🏈,https://twitter.com/tunasweasel,,
51,nflfootballinfo,nfl senior vice president of football & international communications,https://twitter.com/NFLfootballinfo,new york city,http://t.co/QMrPKzlbM1
52,mattmfm,democratic pollster & strategist • vice president @ whitman insight strategies • @victoryfund board,https://twitter.com/mattmfm,ri → dc → nyc → ri,https://t.co/rqleYAXY73
53,kiraincongress,"member of ukrainian parliament, leader of political party golos, vice president of alde. #warinukraine #ukraine #ukrainetoday #congresswoman",https://twitter.com/kiraincongress,"kyiv, ukraine",https://t.co/1t8Sx3ARDO
54,chingtelai,"vice president of taiwan r.o.c., chairperson of democratic progressive party.",https://twitter.com/ChingteLai,taiwan,https://t.co/jlskvCNP8H
55,anna_veduta,"vice president anti-corruption foundation @acf_int, team @navalny in the usa https://t.co/vlzjosxj89 || mia @columbiasipa. 💛💙against war in ukraine 🇺🇦",https://twitter.com/Anna_Veduta,"washington, dc",https://t.co/IMhJdAS1vM
56,antonioarellano,"orgullosamente latino. vice president of communications, @nextgenamerica",https://twitter.com/AntonioArellano,,https://t.co/4bOQMqS1K8
57,harlemdesir,"senior vice-president europe, international rescue committee @rescueorg . personal account",https://twitter.com/harlemdesir,"bruxelles, belgique",https://t.co/kPbWQeHQ9y
58,arnemeyer,"vice president at @naughty_dog. the last of us part ii, uncharted, jak & daxter. despite all the bread pics, i sometimes play video games.",https://twitter.com/arnemeyer,"los angeles, ca",https://t.co/2AssMWKOTJ
59,nixonron,"@ap vice president, news and 
head of investigations, enterprise, partnerships and grants, former @nytimes @usmc vet. co-founder @ibwellssociety",https://twitter.com/nixonron,washington dc • johannesburg,https://t.co/cZPm1dObWa
60,adotdee,exec vice president - @atlanticrcrdsuk🌍,https://twitter.com/adotdee,"london, england",
61,pearlsfrommyrna,"now on mastodon @pearlsfrommyrna@c.im
retired executive secretary for mr. stanley bogenshoots, senior vice president at hughes aircraft.",https://twitter.com/PearlsFromMyrna,vaca muerta estates,
62,evanfeigenbaum,vice president @carnegieendow; 2019-20 james r. schlesinger distinguished professor @miller_center; twice us deputy assistant secretary of state; asia's future.,https://twitter.com/EvanFeigenbaum,"washington, dc",https://t.co/ABexH2X0Bt
63,natashabertaud,deputy head of cabinet for @eu_commission vice-president @margschinas. #migrationeu #securityunion,https://twitter.com/NatashaBertaud,brussels,https://t.co/fN7tFe7g58
64,salilacharya,"rj vj podcaster @spotify .. #karmickonnection ..  associate vice president @radiocityindia , production house #ssproductions",https://twitter.com/Salilacharya,"mumbai, india",https://t.co/5UBXjDYUa3
65,mjbank,แบงค์ พชร ปัญญายงค์ vice president of toyota bangkok group นักคิด นักทำ นักพูด นักลงทุน money jockey,https://twitter.com/MJBank,"city of angel: bkk, tha",https://t.co/P7rYfOHIUg
66,evakaili,vice president 🇪🇺 european parliament | chair c4ai | ict | foresight innovation digital strategy | csr | investeu | blockchain | eva@evakaili.gr s&d 🇬🇷,https://twitter.com/EvaKaili,"brussels, athens, thessaloniki",https://t.co/ufKJaItgZx
67,hugosas,executive director & vice president @oceana uk 🌎🌊🐋🐟former ceo @sascampaigns columnist @oceano_mag alum @edoceanleaders @uniofexeter | views own |,https://twitter.com/HugoSAS,cornwall & london,https://t.co/zZORLpr1Kn
68,maloneysuzanne,vice president & director of @brookingsfp. iran junkie at brookings' center for middle east policy. fmr state & xom. opinions are my own.,https://twitter.com/MaloneySuzanne,"washington, dc",https://t.co/EdpTUcnBY8
69,sunilyadavbjp,vice president @bjp4delhi | director ddca| ex president yuva morcha @bjp4delhi |bjp mla candidate 2020| followed by pm @narendramodi ji| ex secretary @bjp4delhi,https://twitter.com/SunilYadavBJP,jor bagh lane,https://t.co/mwPLXlBkKX
70,gurdeepsappal,aicc incharge-admin & coordinator office of congress president @incindia/ex-ceo & editor @rajyasabhatv /ex osd to the vice president of india/ @sbfindia,https://twitter.com/gurdeepsappal,,
71,shahid_siddiqui,gen sec alliance for economic and educational development for the underprivileged aeedu national vice president rld. former mp(rs) editor nai dunia,https://twitter.com/shahid_siddiqui,new delhi,
72,reedharrisufc,former owner wec - ufc senior vice president of athlete development and marketing,https://twitter.com/reedharrisufc,las vegas,
73,ohhrogerr,vice president of content @optic | roger@opticgaming.tv,https://twitter.com/OhhRogerr,"dallas, tx",
74,thisisaniljha,"chief executive officer & partner at https://t.co/itxh5qgugj ex senior vice president star india & star plus, producer - #tbjjn zee tv.",https://twitter.com/ThisIsAnilJha,mumbai,https://t.co/2Y5Aj9XCsx
75,mellinger,"husband. father. kansas city royals vice president of communications. former sports writer. former lots of other stuff, too.",https://twitter.com/mellinger,kansas city,https://t.co/h3jeVncRm3
76,barrylarkin,"senior vice president and board of directors, @baseballunited; @mlb hof 2012; @reds ⚾️",https://twitter.com/BarryLarkin,,
77,gurpreetkchadha,"actor/producer by profession & a politician by passion,ex advisory panel member(cbfc/ mtnl) president @ngopgf vice president @mumbaipmc",https://twitter.com/GurpreetKChadha,"mumbai, india",https://t.co/YP1hL0EFsH
78,dannyalexander,"former chief secretary to the uk treasury, now vice president of aiib, based in beijing",https://twitter.com/dannyalexander,,https://t.co/xynrDEZ0Eq
79,jjcarafano,heritage foundation vice president for foreign & security policy-a guy just trying to prevent world war iii one tweet at a time (opinions expressed are my own),https://twitter.com/JJCarafano,"washington, dc",https://t.co/ObUi6a6mHN
80,sergey_bubka,"pole vault olympic champion, ioc member, iaaf senior vice president; unesco champion for sport, @eusport #beactive ambassador, president of the noc of ukraine",https://twitter.com/sergey_bubka,ukraine,https://t.co/u5A7PzQutr
81,vmrconstancio,"former ecb vice president. president of the council of iseg, university of lisbon. professor at navarra university, masters school, madrid",https://twitter.com/VMRConstancio,portugal,https://t.co/vsXPyEJ6Oq
82,cjonescowboys,"@dallascowboys exec vice president & chief brand officer, nfl foundation chairman, former salvation army national advisory board chair & daughter of jerry jones",https://twitter.com/cjonescowboys,"dallas, tx",https://t.co/DdJLHk1Phq
83,_delconte,"vice president and athletics director, the university of texas",https://twitter.com/_delconte,"austin, tx",https://t.co/d8Z854e0zu
84,imranahmadkh,"senior vice president @asportstvpk. past life at @therealpcb & @thepslt20. @columbiajourn '17, @lifeatlums '14",https://twitter.com/imranahmadkh,"lahore, pakistan",https://t.co/CvjTfx8rRP
85,harrisoncomms,"senior vice president, actum llc | former uk director of comms, huawei | former sky news senior news editor & royal/business correspondent | true crime author",https://twitter.com/HarrisonComms,london,https://t.co/GjaQ1aLDX6
86,mrphilharrison,"vice president and gm, google. i sometimes share work and stadia stuff. opinions are always mine.",https://twitter.com/MrPhilHarrison,"silicon valley, ca",https://t.co/g3KYcVTCxE
87,grishamfight,"vice president of global acquisitions @playundisputed, dazn boxing. glory kickboxing. making television magic one show at a time #merica",https://twitter.com/Grishamfight,"connecticut, usa",https://t.co/E7XygXEhoH
88,fredkempe,ceo & president @atlanticcouncil. author. journalist. entrepreneur. rt ≠ endorsement,https://twitter.com/FredKempe,"washington, dc",https://t.co/eJbKFu4aRm
89,charlielipsie,vice president of operations @sentinels,https://twitter.com/Charlielipsie,shanghai✈️california,
90,khansaumitra,"mp bishnupur,bjp leader and 1time ex mla, 2time mp,vice president @bjp4bengal, ex state president @bjyminwb",https://twitter.com/KhanSaumitra,"bishnupur, india",https://t.co/Mppq5Dtylm
91,aneeshgautam69,"in the billy beane mould...popularly known as cover bhai, working as vice president for youwecan/ysce/ywc sports and personal manager to yuvraj singh",https://twitter.com/aneeshgautam69,new delhi / gurgaon,https://t.co/6VyHW4xSzX
92,goncharenkoua,"vice president of the pace committee on migration, refugees and displaced persons, ukrainian mp",https://twitter.com/GoncharenkoUa,kyiv,https://t.co/RrPwCXKRCn
93,hartwigschafer,leader and development professional with over three decades of global experience and former south asia regional vice president at the world bank,https://twitter.com/HartwigSchafer,"washington, dc",
94,medha_kulkarni,"educationist, politician ;

principal - sevasadan d.el.ed. college, pune ;

ex-mla, kothrud ;

national vice president - @bjpmahilamorcha ;

indian 🇮🇳",https://twitter.com/Medha_kulkarni,"pune, india",https://t.co/cX8W1uZ7vQ
95,welshman_ncube,zimbabwean. advocate. professor of law. vice president ccc. former minister of industry and commerce.,https://twitter.com/Welshman_Ncube,"bulawayo and harare, zimbabwe",
96,courtemanchemls,major league soccer executive vice president of communications. proud husband and father. @universityofga alum. all opinions here are my own.,https://twitter.com/courtemancheMLS,"new york, ny",https://t.co/4MuSfBBTfR
97,stackhousejohn,"senior vice-president, office of the ceo, royal bank of canada. host of disruptors, an rbc podcast",https://twitter.com/StackhouseJohn,canada,https://t.co/dGOCbm0Dx8
98,asbabar786,"politician. consultant. founding member, founding president pti balochistan, former vice president & central information secretary. fighting for justice.",https://twitter.com/asbabar786,islamabad,https://t.co/NByxZHJhYi
99,yusuf_i_mehdi,"corporate vice president & consumer chief marketing officer, microsoft",https://twitter.com/yusuf_i_mehdi,,https://t.co/uayVZ3UzkA
100,heguisen,"taiwan-based journalist. bylines in @nytimes, @nikkeiasia, @theatlantic, @business. previously hong kong, kunming, shanghai, lfk. vice president @taiwanfcc.",https://twitter.com/heguisen,taipei,https://t.co/73GAOu8etG
101,b_momani,"professor & assistant vice-president, research & international @uwaterloo| senior fellow @cigionline & @gulfstatesinst| international affairs analyst",https://twitter.com/b_momani,,https://t.co/WYW6ygQU8c
102,sethasfishman,vice president & la based literary agent @ the gernert company & author of picture books like a hundred billion trillion stars & bad drawer.,https://twitter.com/sethasfishman,,https://t.co/g08rB38ud8
103,dubravkasuica,vice president of the @eu_commission in charge of democracy and demography 🇪🇺 /conference on the future of europe/ former mep / former mayor of dubrovnik 🇭🇷,https://twitter.com/dubravkasuica,"brussels, belgium",https://t.co/v5WEx0dlYM
